Original Text,Machine translation,Better translation,Best translation,Vencedor,Score Annie,Score Online
"Hello, beautiful world!","Olá, mundo lindo!","","","",0,0
"Emotional glee\nIntoxicated, blissful\nAn old soul's rapture","Alegria emocional\nIntoxicado, abençoado\nÊxtase de uma alma antiga","","","",0,0
"What is your name?","Qual é o seu nome?","","","",0,0
"{i}The hero awakens{/i}","{i}O herói acorda{/i}","","","",0,0
"Explore the vast lands of Eldoria.","Explore as vastas terras de Eldória.","","","",0,0
"You have gained 100 experience points.","Você ganhou 100 pontos de experiência.","","","",0,0
"Choose your weapon wisely.","Escolha sua arma com sabedoria.","","","",0,0
"The darkness consumes all who enter.","A escuridão consome todos os que entram.","","","",0,0
"A mysterious figure approaches you.","Uma figura misteriosa se aproxima de você.","","","",0,0
"I must save the kingdom from destruction.","Devo salvar o reino da destruição.","","","",0,0
