Original Text,Machine translation
"Hello world!","Olá mundo!"
"The hero awakens from a long slumber.","O herói acorda de um longo sono."
"What is your name?","Qual é o seu nome?"
"I must save the kingdom.","Devo salvar o reino."
"The darkness consumes all.","A escuridão consome tudo."
"You have gained experience.","Você ganhou experiência."
"Choose your weapon wisely.","Escolha sua arma com sabedoria."
"A mysterious figure approaches.","Uma figura misteriosa se aproxima."
"The treasure is hidden in the cave.","O tesouro está escondido na caverna."
"Let us begin our adventure.","Vamos começar nossa aventura."
